Gene	Family
Soffic.02E0028370-2E	bHLH	TFF
Soffic.01H0026850-1H	zf-C5HC2	TFF
Soffic.01G0014340-1G	MYB-related	TFF
Soffic.01G0031230-1E	zf-BED	TFF
Soffic.08G0002050-8D	SET	OTR
Soffic.02G0025410-2D	C2H2	TFF
Soffic.10F0010610-10F	PHD	OTR
Soffic.04G0032660-4C	C2H2	TFF
Soffic.06G0022370-6B	GNAT	OTR
Soffic.01H0018120-1H	FHA	TFF
Soffic.10G0005290-10C	zf-MIZ	OTR
Soffic.01H0022270-1H	SET	OTR
Soffic.10G0017250-10D	MYB	TFF
Soffic.02G0003360-2G	Orphans	Orphans
Soffic.07G0004050-7G	NAC	TFF
Soffic.10G0024800-10G	Orphans	Orphans
Soffic.02G0001830-2B	DDT	OTR
Soffic.02G0018870-2G	Orphans	Orphans
Soffic.02G0036580-2F	AP2-EREBP	TFF
Soffic.01G0000510-1F	Orphans	Orphans
Soffic.02G0028360-2D	Orphans	Orphans
Soffic.10G0025990-10G	PHD	OTR
Soffic.06G0001750-6E	Orphans	Orphans
Soffic.01G0009290-1C	bHLH	TFF
Soffic.05G0005400-5F	Orphans	Orphans
Soffic.01E0027950-1E	Tify	TFF
Soffic.10G0007620-10F	G2-like	TFF
Soffic.05G0009810-5E	Orphans	Orphans
Soffic.05F0013690-5F	bZIP	TFF
Soffic.03D0013100-3D	AP2-EREBP	TFF
Soffic.01G0001000-1G	MYB-related	TFF
Soffic.09G0015390-9E	WRKY	TFF
Soffic.02G0036980-2F	bHLH	TFF
Soffic.08G0015070-8C	Orphans	Orphans
Soffic.01G0025310-1C	GNAT	OTR
Soffic.03G0030390-3D	WRKY	TFF
Soffic.09G0010230-9H	Orphans	Orphans
Soffic.03G0025290-3B	WRKY	TFF
Soffic.06G0006120-6G	E2F-DP	TFF
Soffic.04G0031830-4G	bHLH	TFF
Soffic.04G0004640-4H	FAR1	TFF
Soffic.08G0015350-8D	CPP	TFF
Soffic.04H0005920-4H	WRKY	TFF
Soffic.03C0002410-3C	BES1	TFF
Soffic.02G0029210-2C	Orphans	Orphans
Soffic.05G0005970-5A	MYB-related	TFF
Soffic.04G0010830-4G	Orphans	Orphans
Soffic.02C0035000-2C	Orphans	Orphans
Soffic.03G0037350-3D	SET	OTR
Soffic.03D0028570-3D	AP2-EREBP	TFF
Soffic.01G0011330-1G	FAR1	TFF
Soffic.01G0042430-1B	zf-BED	TFF
Soffic.02G0026650-2D	FHA	TFF
Soffic.09D0006240-9D	C2H2	TFF
Soffic.01G0027170-1C	MYB	TFF
Soffic.10D0022770-10D	C2C2-GATA	TFF
Soffic.03G0005190-3G	FAR1	TFF
Soffic.03G0031200-3B	WRKY	TFF
Soffic.03G0003160-3C	MYB-related	TFF
Soffic.04G0018560-4G	SET	OTR
Soffic.04G0032780-4F	C2H2	TFF
Soffic.09F0002840-9F	HB	TFF
Soffic.01G0011440-1C	MYB-related	TFF
Soffic.01G0052670-1D	MADS	TFF
Soffic.01F0042500-1F	FAR1	TFF
Soffic.01G0051950-1C	NAC	TFF
Soffic.10G0008430-10F	zf-fF-X1	TFF
Soffic.01C0012130-1C	bHLH	TFF
Soffic.02G0027950-2F	Orphans	Orphans
Soffic.09G0015010-9B	NAC	TFF
Soffic.06G0006670-6D	bHLH	TFF
Soffic.09E0015760-9E	GNAT	OTR
Soffic.08G0008790-8F	MADS	TFF
Soffic.01E0043040-1E	MYB	TFF
Soffic.03G0030830-3F	WRKY	TFF
Soffic.04G0025250-4A	SET	OTR
Soffic.01G0003640-1E	C2H2	TFF
Soffic.04F0030990-4F	bHLH	TFF
Soffic.09G0003610-9C	Top	TFF
Soffic.07G0010030-7A	PAS	TFF
Soffic.03G0003150-3E	AUX/IAA	OTR
Soffic.04G0025760-4A	MYB	TFF
Soffic.03G0034820-3F	NAC	TFF
Soffic.01G0044250-1A	AP2-EREBP	TFF
Soffic.02G0013310-2G	MYB-related	TFF
Soffic.04G0001410-4E	PHD	OTR
Soffic.10G0004630-10G	BBR/BPC	TFF
Soffic.09G0018970-9G	Sigma70-like	TFF
Soffic.10G0018200-10B	mTERF	OTR
Soffic.03G0012580-3H	bHLH	TFF
Soffic.07G0013000-7C	MYB	TFF
Soffic.08H0003330-8H	C2H2	TFF
Soffic.03G0017020-3H	zf-BED	TFF
Soffic.10G0010490-10G	MYB	TFF
Soffic.01F0034910-1F	PAS	TFF
Soffic.04G0000160-4C	bHLH	TFF
Soffic.05G0020620-5F	Orphans	Orphans
Soffic.01G0018180-1B	SET	OTR
Soffic.09G0011350-9F	GNAT	OTR
Soffic.10D0019750-10D	bZIP	TFF
Soffic.01G0021500-1C	FAR1	TFF
Soffic.09G0013540-9B	bZIP	TFF
Soffic.07G0018680-7E	SBP	TFF
Soffic.04G0026690-4B	SET	OTR
Soffic.02H0029120-2H	CCAAT	TFF
Soffic.07G0007140-7A	TRAF	OTR
Soffic.04G0032960-4A	C2H2	TFF
Soffic.09G0003200-9B	WRKY	TFF
Soffic.03G0039670-3C	GNAT	OTR
Soffic.10G0014790-10G	MADS	TFF
Soffic.08G0004710-8G	C2C2-GATA	TFF
Soffic.04D0006490-4D	PLATZ	TFF
Soffic.10G0024740-10G	zf-BED	TFF
Soffic.02F0001280-2F	GNAT	OTR
Soffic.04G0000840-4F	PHD	OTR
Soffic.07G0015520-7B	C2H2	TFF
Soffic.04G0001470-4E	GeBP	TFF
Soffic.01G0041670-1D	AP2-EREBP	TFF
Soffic.03G0017160-3H	Orphans	Orphans
Soffic.03H0002240-3H	MYB	TFF
Soffic.10G0025130-10C	NAC	TFF
Soffic.04G0026010-4G	zf-HD	TFF
Soffic.07G0017780-7E	Orphans	Orphans
Soffic.03G0028900-3C	NAC	TFF
Soffic.03G0034980-3H	Orphans	Orphans
Soffic.01G0035990-1C	GeBP	TFF
Soffic.03G0022200-3G	Coactivator_p15	OTR
Soffic.04G0028530-4A	MYB-related	TFF
Soffic.08G0009150-8G	TRAF	OTR
Soffic.02F0035630-2F	FAR1	TFF
Soffic.01D0029850-1D	TRAF	OTR
Soffic.05G0009560-5C	WRKY	TFF
Soffic.03G0002990-3G	WRKY	TFF
Soffic.03G0033450-3C	MADS	TFF
Soffic.05G0005990-5F	FAR1	TFF
Soffic.04G0009410-4E	bHLH	TFF
Soffic.01G0013280-1D	Orphans	Orphans
Soffic.01G0038320-1A	bZIP	TFF
Soffic.08G0005060-8C	C2C2-GATA	TFF
Soffic.05G0014420-5G	CCAAT	TFF
Soffic.07G0011430-7G	CCAAT	TFF
Soffic.01G0003550-1B	GRAS	TFF
Soffic.04G0024730-4H	SET	OTR
Soffic.06G0002390-6A	RWP-RK	TFF
Soffic.03G0004000-3A	AUX/IAA	OTR
Soffic.06G0013510-6D	C2C2-GATA	TFF
Soffic.05G0003760-5D	Pseudo_ARR-B	OTR
Soffic.01G0019410-1H	Top	TFF
Soffic.03G0006190-3F	MYB-related	TFF
Soffic.08G0006670-8H	Orphans	Orphans
Soffic.10G0005160-10A	Orphans	Orphans
Soffic.02G0014480-2B	C2C2-YABBY	TFF
Soffic.06G0011540-6G	FAR1	TFF
Soffic.03B0019550-3B	C3H	TFF
Soffic.01G0005500-1D	ABI3VP1	TFF
Soffic.06H0021240-6H	Orphans	Orphans
Soffic.03F0023920-3F	Coactivator_p15	OTR
Soffic.07G0017470-7G	zf-BED	TFF
Soffic.02G0011880-2H	bZIP	TFF
Soffic.09G0010950-9D	C2C2-GATA	TFF
Soffic.09G0017220-9C	ABI3VP1	TFF
Soffic.02G0030880-2H	Orphans	Orphans
Soffic.01G0047980-1D	ABI3VP1	TFF
Soffic.02C0039020-2C	NAC	TFF
Soffic.03E0015460-3E	zf-BED	TFF
Soffic.01G0038970-1A	bZIP	TFF
Soffic.02D0008960-2D	PHD	OTR
Soffic.02H0015350-2H	Orphans	Orphans
Soffic.06G0018100-6A	ABI3VP1	TFF
Soffic.03H0033620-3H	MYB	TFF
Soffic.01C0001580-1C	MYB-related	TFF
Soffic.02F0033540-2F	FAR1	TFF
Soffic.04G0014540-4B	zf-BED	TFF
Soffic.03H0036600-3H	Orphans	Orphans
Soffic.03H0025820-3H	ARF	TFF
Soffic.07G0018260-7F	bHLH	TFF
Soffic.09G0007850-9B	C2H2	TFF
Soffic.03G0035550-3E	Alfin-like	TFF
Soffic.03G0024600-3G	HSF	TFF
Soffic.05G0001660-5A	Orphans	Orphans
Soffic.03G0036060-3B	bHLH	TFF
Soffic.06G0016630-6G	GRAS	TFF
Soffic.02H0033050-2H	GRAS	TFF
Soffic.08G0001580-8A	Orphans	Orphans
Soffic.03G0039030-3C	Top	TFF
Soffic.01G0021260-1H	Orphans	Orphans
Soffic.03G0006050-3G	bHLH	TFF
Soffic.10E0006970-10E	MYB	TFF
Soffic.03G0040360-3C	WRKY	TFF
Soffic.03G0020110-3E	Orphans	Orphans
Soffic.10G0012570-10A	NAC	TFF
Soffic.03H0019060-3H	zf-LSD1	TFF
Soffic.02G0037820-2A	C2C2-Dof	TFF
Soffic.02H0030800-2H	C3H	TFF
Soffic.02G0029830-2F	Orphans	Orphans
Soffic.03G0016020-3A	bHLH	TFF
Soffic.02G0027700-2D	SBP	TFF
Soffic.01G0011010-1E	Orphans	Orphans
Soffic.06G0018440-6E	OFP	TFF
Soffic.04G0024100-4G	LIM	TFF
Soffic.06G0018820-6D	FAR1	TFF
Soffic.05G0014760-5D	BSD	TFF
Soffic.01F0019330-1F	GNAT	OTR
Soffic.08G0004660-8B	zf-BED	TFF
Soffic.01G0031200-1D	MADS	TFF
Soffic.02G0003550-2A	MADS	TFF
Soffic.01G0012910-1G	MYB	TFF
Soffic.01G0032000-1F	Orphans	Orphans
Soffic.10H0003620-10H	MADS	TFF
Soffic.09G0013560-9A	FAR1	TFF
Soffic.01G0018210-1C	zf-BED	TFF
Soffic.08G0012500-8A	TRAF	OTR
Soffic.01G0001120-1E	HSF	TFF
Soffic.09B0021080-9B	MYB-related	TFF
Soffic.01G0015410-1B	ABI3VP1	TFF
Soffic.03G0014700-3F	Orphans	Orphans
Soffic.02H0019740-2H	bHLH	TFF
Soffic.06G0010370-6G	NAC	TFF
Soffic.01G0039420-1C	bZIP	TFF
Soffic.04G0001040-4C	PHD	OTR
Soffic.03G0033100-3B	MADS	TFF
Soffic.02G0002540-2G	FAR1	TFF
Soffic.02G0001040-2E	zf-C5HC2	TFF
Soffic.08G0012470-8F	C2H2	TFF
Soffic.01G0037350-1B	AP2-EREBP	TFF
Soffic.02C0001450-2C	WRKY	TFF
Soffic.06G0015740-6B	zf-BED	TFF
Soffic.07G0007380-7B	Orphans	Orphans
Soffic.10F0003020-10F	bHLH	TFF
Soffic.02G0014380-2A	AP2-EREBP	TFF
Soffic.03G0023190-3F	PAS	TFF
Soffic.02H0038810-2H	zf-HD	TFF
Soffic.04G0024640-4B	bHLH	TFF
Soffic.10G0001130-10C	ABI3VP1	TFF
Soffic.02G0028270-2B	Orphans	Orphans
Soffic.06G0011390-6E	NAC	TFF
Soffic.03G0000980-3G	PHD	OTR
Soffic.05G0009680-5G	AP2-EREBP	TFF
Soffic.01G0022090-1B	OFP	TFF
Soffic.09G0005250-9C	FHA	TFF
Soffic.06G0026530-6G	zf-BED	TFF
Soffic.07G0016550-7C	bZIP	TFF
Soffic.02G0019290-2F	GeBP	TFF
Soffic.10G0023190-10C	TAZ	TFF
Soffic.08G0013590-8A	mTERF	OTR
Soffic.05C0021650-5C	C2H2	TFF
Soffic.04G0029010-4B	GeBP	TFF
Soffic.05G0015690-5B	MYB-related	TFF
Soffic.01G0038990-1H	C2C2-Dof	TFF
Soffic.04G0009250-4A	bZIP	TFF
Soffic.05G0009160-5E	WRKY	TFF
Soffic.06G0014870-6E	Top	TFF
Soffic.01G0042160-1C	TRAF	OTR
Soffic.01H0008350-1H	Orphans	Orphans
Soffic.05G0013350-5B	SBP	TFF
Soffic.03F0039120-3F	PAS	TFF
Soffic.05G0004820-5B	OFP	TFF
Soffic.06G0026930-6G	NAC	TFF
Soffic.09G0015820-9B	C2H2	TFF
Soffic.06G0011690-6G	MYB-related	TFF
Soffic.03G0025840-3G	Orphans	Orphans
Soffic.05G0007800-5C	FAR1	TFF
Soffic.01F0007440-1F	C2C2-GATA	TFF
Soffic.08F0017680-8F	ABI3VP1	TFF
Soffic.07G0013840-7B	FAR1	TFF
Soffic.01G0003380-1B	NAC	TFF
Soffic.02G0015760-2E	AP2-EREBP	TFF
Soffic.10H0009480-10H	MADS	TFF
Soffic.01G0048230-1E	HB	TFF
Soffic.10G0001590-10H	ABI3VP1	TFF
Soffic.07G0020990-7F	bHLH	TFF
Soffic.02E0029260-2E	AP2-EREBP	TFF
Soffic.03G0024280-3H	FAR1	TFF
Soffic.01G0052970-1A	Orphans	Orphans
Soffic.07G0018550-7G	ARF	TFF
Soffic.09G0010560-9E	GNAT	OTR
Soffic.09G0013780-9H	NAC	TFF
Soffic.01G0028490-1B	MYB-related	TFF
Soffic.05G0015010-5G	GRF	TFF
Soffic.02G0011920-2H	zf-BED	TFF
Soffic.06G0016820-6G	bHLH	TFF
Soffic.02G0019430-2G	AP2-EREBP	TFF
Soffic.03G0034090-3A	GRAS	TFF
Soffic.01G0049220-1H	FAR1	TFF
Soffic.02G0034930-2H	BSD	TFF
Soffic.01G0041510-1A	SART-1	OTR
Soffic.01G0000690-1D	AP2-EREBP	TFF
Soffic.07G0012260-7E	MYB	TFF
Soffic.08E0017080-8E	Orphans	Orphans
Soffic.06G0019070-6B	MYB	TFF
Soffic.09G0022720-9G	Orphans	Orphans
Soffic.07G0020510-7A	Orphans	Orphans
Soffic.10F0020570-10F	AP2-EREBP	TFF
Soffic.09G0016320-9D	WRKY	TFF
Soffic.07G0004000-7D	AP2-EREBP	TFF
Soffic.09G0010130-9G	Sigma70-like	TFF
Soffic.01G0029130-1D	MED26	OTR
Soffic.04G0001630-4F	SWI/SNF-BAF60b	OTR
Soffic.04G0002390-4C	PHD	OTR
Soffic.08G0018010-8H	ABI3VP1	TFF
Soffic.01G0004890-1C	NAC	TFF
Soffic.06G0003730-6F	Orphans	Orphans
Soffic.02G0003140-2B	MADS	TFF
Soffic.03G0032500-3G	SWI/SNF-BAF60b	OTR
Soffic.01G0024650-1B	MYB	TFF
Soffic.05G0021510-5A	C2H2	TFF
Soffic.06G0018040-6F	Orphans	Orphans
Soffic.03G0018490-3A	MYB-related	TFF
Soffic.07E0016170-7E	bZIP	TFF
Soffic.03H0006690-3H	MYB-related	TFF
Soffic.02E0023160-2E	MYB	TFF
Soffic.03G0010420-3B	BSD	TFF
Soffic.08G0009680-8D	Orphans	Orphans
Soffic.03G0005050-3H	CCAAT	TFF
Soffic.05G0014090-5C	bHLH	TFF
Soffic.04E0019040-4E	AP2-EREBP	TFF
Soffic.01H0041140-1H	Orphans	Orphans
Soffic.07G0014650-7C	SET	OTR
Soffic.01G0053750-1C	OFP	TFF
Soffic.01H0036210-1H	MYB	TFF
Soffic.09G0006990-9B	MADS	TFF
Soffic.01G0022760-1B	Orphans	Orphans
Soffic.07G0014360-7G	NAC	TFF
Soffic.08G0005800-8A	MYB	TFF
Soffic.04G0031110-4D	zf-BED	TFF
Soffic.09G0006590-9B	FAR1	TFF
Soffic.05G0002610-5E	GRAS	TFF
Soffic.07G0003330-7D	C3H	TFF
Soffic.01G0013280-1C	GeBP	TFF
Soffic.04G0017420-4A	Alfin-like	TFF
Soffic.01G0002010-1A	FAR1	TFF
Soffic.05G0017560-5G	MADS	TFF
Soffic.10G0000750-10B	ABI3VP1	TFF
Soffic.10G0008690-10B	MADS	TFF
Soffic.03G0035020-3E	MADS	TFF
Soffic.04G0021630-4B	FAR1	TFF
Soffic.06G0024980-6G	AP2-EREBP	TFF
Soffic.05G0001100-5G	FAR1	TFF
Soffic.06E0023300-6E	NAC	TFF
Soffic.09G0014790-9G	CCAAT	TFF
Soffic.10G0009500-10C	LIM	TFF
Soffic.04G0023570-4C	NAC	TFF
Soffic.08G0017020-8E	CCAAT	TFF
Soffic.10G0000830-10H	Orphans	Orphans
Soffic.01G0017000-1C	zf-LSD1	TFF
Soffic.01G0000770-1G	Sigma70-like	TFF
Soffic.03G0016550-3A	WRKY	TFF
Soffic.08G0009490-8E	NAC	TFF
Soffic.01G0023840-1C	AP2-EREBP	TFF
Soffic.10G0020300-10E	CCAAT	TFF
Soffic.03E0025390-3E	OFP	TFF
Soffic.01G0044780-1G	BES1	TFF
Soffic.01G0031030-1B	GNAT	OTR
Soffic.04G0000160-4D	Orphans	Orphans
Soffic.03G0034250-3A	NAC	TFF
Soffic.02G0018440-2A	MYB	TFF
Soffic.06F0017090-6F	AP2-EREBP	TFF
Soffic.01G0012060-1A	HB	TFF
Soffic.07H0003730-7H	bHLH	TFF
Soffic.01G0021460-1B	Orphans	Orphans
Soffic.02G0019500-2B	NAC	TFF
Soffic.03G0023430-3F	MYB	TFF
Soffic.10G0005420-10G	AP2-EREBP	TFF
Soffic.07G0003890-7F	MYB-related	TFF
Soffic.08G0016040-8G	CCAAT	TFF
Soffic.01G0043680-1B	MADS	TFF
Soffic.09G0022900-9B	Orphans	Orphans
Soffic.06C0018920-6C	NAC	TFF
Soffic.04G0008770-4F	MYB-related	TFF
Soffic.06G0014420-6F	Top	TFF
Soffic.04H0006190-4H	zf-C5HC2	TFF
Soffic.01G0005260-1H	DDT	OTR
Soffic.09G0024690-9F	bHLH	TFF
Soffic.04G0016100-4G	MED26	OTR
Soffic.04F0026820-4F	mTERF	OTR
Soffic.10G0005570-10B	AUX/IAA	OTR
Soffic.02G0030050-2F	FAR1	TFF
Soffic.03G0003380-3D	MYB-related	TFF
Soffic.01G0007140-1B	MYB	TFF
Soffic.01G0001750-1B	FAR1	TFF
Soffic.10G0016580-10D	Orphans	Orphans
Soffic.06G0014660-6A	AP2-EREBP	TFF
Soffic.08G0005610-8G	Orphans	Orphans
Soffic.09G0002260-9D	MYB-related	TFF
Soffic.03F0027470-3F	zf-A20	TFF
Soffic.04G0032980-4G	Orphans	Orphans
Soffic.01G0046790-1B	MADS	TFF
Soffic.09G0011090-9A	ARF	TFF
Soffic.09G0016510-9D	NOT2_3_5	OTR
Soffic.02G0032440-2G	CCAAT	TFF
Soffic.03F0017260-3F	bHLH	TFF
Soffic.02G0031690-2F	WRKY	TFF
Soffic.03F0025700-3F	Orphans	Orphans
Soffic.01G0047530-1A	Pseudo_ARR-B	OTR
Soffic.03G0023000-3C	MYB-related	TFF
Soffic.06E0008630-6E	DDT	OTR
Soffic.01G0008050-1B	WRKY	TFF
Soffic.01G0017720-1F	Orphans	Orphans
Soffic.02G0035940-2B	bHLH	TFF
Soffic.01G0028430-1G	Orphans	Orphans
Soffic.04G0020430-4F	RWP-RK	TFF
Soffic.09G0002130-9F	FAR1	TFF
Soffic.03G0030240-3F	SET	OTR
Soffic.01G0022520-1E	FAR1	TFF
Soffic.07G0019520-7F	AP2-EREBP	TFF
Soffic.07G0018180-7A	FAR1	TFF
Soffic.04G0018760-4F	Orphans	Orphans
Soffic.07G0003300-7E	NAC	TFF
Soffic.03C0003570-3C	OFP	TFF
Soffic.03G0016330-3D	zf-BED	TFF
Soffic.01G0045420-1F	C2H2	TFF
Soffic.03G0029520-3H	FAR1	TFF
Soffic.04G0010620-4G	NAC	TFF
Soffic.07G0006170-7D	AP2-EREBP	TFF
Soffic.05G0002700-5B	NAC	TFF
Soffic.01G0033630-1A	WRKY	TFF
Soffic.06H0012100-6H	C1-4-t1	TFF
Soffic.04G0016400-4B	AP2-EREBP	TFF
Soffic.03G0028020-3G	MYB	TFF
Soffic.03G0004910-3E	Alfin-like	TFF
Soffic.04C0005750-4C	PLATZ	TFF
Soffic.01G0024140-1D	Orphans	Orphans
Soffic.08G0013080-8F	AP2-EREBP	TFF
Soffic.04G0017660-4F	MADS	TFF
Soffic.02G0028360-2C	Orphans	Orphans
Soffic.04H0024280-4H	GNAT	OTR
Soffic.01G0009290-1D	WRKY	TFF
Soffic.02G0022070-2F	SBP	TFF
Soffic.05G0021080-5A	Orphans	Orphans
Soffic.03G0029130-3B	WRKY	TFF
Soffic.02G0028650-2G	GRAS	TFF
Soffic.08G0007080-8D	MADS	TFF
Soffic.05D0001830-5D	MYB	TFF
Soffic.09G0018710-9F	Orphans	Orphans
Soffic.10G0017190-10E	C2H2	TFF
Soffic.09G0006560-9D	NAC	TFF
Soffic.06G0013850-6C	C2C2-YABBY	TFF
Soffic.02G0014440-2G	Orphans	Orphans
Soffic.01F0037690-1F	AP2-EREBP	TFF
Soffic.01G0021380-1G	MYB-related	TFF
Soffic.09G0020890-9H	WRKY	TFF
Soffic.10G0017020-10C	bZIP	TFF
Soffic.02G0017650-2F	MYB	TFF
Soffic.10G0011470-10E	FAR1	TFF
Soffic.01G0004230-1A	AP2-EREBP	TFF
Soffic.09G0021530-9H	bZIP	TFF
Soffic.03G0038610-3B	Top	TFF
Soffic.02G0018530-2E	NAC	TFF
Soffic.01D0020460-1D	GNAT	OTR
Soffic.04G0029800-4F	mTERF	OTR
Soffic.03C0022390-3C	MYB	TFF
Soffic.01G0040340-1A	MYB	TFF
Soffic.03G0018900-3A	WRKY	TFF
Soffic.01G0035940-1A	HSF	TFF
Soffic.07G0006850-7E	OFP	TFF
Soffic.01G0030360-1C	NAC	TFF
Soffic.01G0000660-1B	Orphans	Orphans
Soffic.04H0011830-4H	Orphans	Orphans
Soffic.10H0019840-10H	Orphans	Orphans
Soffic.08G0001560-8G	FAR1	TFF
Soffic.03G0017260-3G	WRKY	TFF
Soffic.03G0011140-3G	MED26	OTR
Soffic.01C0053710-1C	MYB	TFF
Soffic.05A0004260-5A	HB	TFF
Soffic.10G0020360-10H	bZIP	TFF
Soffic.03G0008620-3A	MYB	TFF
Soffic.04G0029070-4B	WRKY	TFF
Soffic.10G0013820-10G	WRKY	TFF
Soffic.04G0031570-4E	C2H2	TFF
Soffic.04G0009040-4D	zf-C5HC2	TFF
Soffic.07G0016430-7B	bZIP	TFF
Soffic.06G0022050-6B	CSD	TFF
Soffic.01G0048200-1D	FAR1	TFF
Soffic.05G0009420-5H	NAC	TFF
Soffic.02G0029830-2H	Orphans	Orphans
Soffic.05G0000360-5F	C2C2-Dof	TFF
Soffic.07G0020850-7A	TRAF	OTR
Soffic.02G0021620-2F	C2H2	TFF
Soffic.03G0035990-3B	SET	OTR
Soffic.02H0038870-2H	SET	OTR
Soffic.04G0032660-4D	MYB-related	TFF
Soffic.01G0017110-1A	bHLH	TFF
Soffic.01G0044410-1E	FAR1	TFF
Soffic.09G0023420-9F	NAC	TFF
Soffic.01D0012380-1D	bHLH	TFF
Soffic.01G0007160-1A	Orphans	Orphans
Soffic.09G0019580-9F	AP2-EREBP	TFF
Soffic.02G0030340-2C	Orphans	Orphans
Soffic.10H0008330-10H	MYB	TFF
Soffic.05G0021570-5A	C2H2	TFF
Soffic.06G0006910-6A	Orphans	Orphans
Soffic.02E0031150-2E	MYB-related	TFF
Soffic.01F0004410-1F	WRKY	TFF
Soffic.05G0019080-5D	FHA	TFF
Soffic.02G0020060-2G	zf-HD	TFF
Soffic.07G0010110-7E	MBF1	OTR
Soffic.03G0013510-3E	SAP	TFF
Soffic.03G0015440-3H	Orphans	Orphans
Soffic.01B0020790-1B	ARR-B	TFF
Soffic.07B0012910-7B	bHLH	TFF
Soffic.09G0007780-9C	C2C2-Dof	TFF
Soffic.03G0027650-3F	TRAF	OTR
Soffic.03G0038420-3D	TRAF	OTR
Soffic.02G0035960-2A	SWI/SNF-BAF60b	OTR
Soffic.05G0021400-5F	AP2-EREBP	TFF
Soffic.10G0022610-10A	Orphans	Orphans
Soffic.09G0019630-9F	Orphans	Orphans
Soffic.01G0022060-1D	Orphans	Orphans
Soffic.10G0024090-10B	bZIP	TFF
Soffic.01G0013410-1G	FAR1	TFF
Soffic.10G0012070-10C	Orphans	Orphans
Soffic.06G0007540-6C	SET	OTR
Soffic.05G0008720-5E	CCAAT	TFF
Soffic.06G0009680-6H	FAR1	TFF
Soffic.03F0003490-3F	WRKY	TFF
Soffic.01G0022800-1A	MYB	TFF
Soffic.08G0005760-8B	bZIP	TFF
Soffic.04G0003580-4G	Orphans	Orphans
Soffic.06G0006510-6A	ARF	TFF
Soffic.04G0003630-4G	PHD	OTR
Soffic.09G0008010-9A	C2H2	TFF
Soffic.10G0020660-10E	MYB-related	TFF
Soffic.04G0000430-4B	bHLH	TFF
Soffic.06F0008670-6F	ARF	TFF
Soffic.05G0018850-5B	FAR1	TFF
Soffic.01G0028190-1G	Top	TFF
Soffic.09G0022130-9B	MYB-related	TFF
Soffic.03G0008410-3G	MYB	TFF
Soffic.03D0020140-3D	GeBP	TFF
Soffic.08G0009590-8A	NAC	TFF
Soffic.08G0012480-8A	Orphans	Orphans
Soffic.02G0021700-2H	SBP	TFF
