gene	transcript	at_anchor	n_transcripts	bitscore	pident	family	munoz_degree	munoz_betweenness	locus	degree	deg_pct	strength	transitivity	on_cons	our_family	module_name	in_network	our_is_MYB	species
SoffiXsponR570.6_9Ag108700	SCA2_2__c76820f1p01331	AT5G59780	4	479	97.8	MYB	11	5067	SCA2_2__c76820f1p01331	189	66.8065085277397	36.175498	0.282674772036474	FALSE	MYB;MYB-related	Module_016	TRUE	TRUE	sugarcane
SoffiXsponR570.6_9Ag108900	SCA2_2__c76820f1p01331	AT5G59780	4	253	61.1	MYB	11	5067	SCA2_2__c76820f1p01331	136	62.6661438933543	22.422386	0.195751633986928	FALSE	MYB	Module_126	TRUE	TRUE	sugarcane
SoffiXsponR570.6_9Ag248700	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	434	74.2	MYB_related	8	4492	SCA3__SP803280_c111248_g1	71	53.9252107429916	10.489655	0.414084507042254	FALSE	not_a_TF	Module_042	TRUE	FALSE	sugarcane
SoffiXsponR570.6us88g046700	SCA2_2__c76820f1p01331	AT5G59780	4	248	64.9	MYB	11	5067	SCA2_2__c76820f1p01331	904	80.2955302881788	125.068594	0.559768813884887	FALSE	MYB	Module_126	TRUE	TRUE	sugarcane
SoffiXsponR570.6us88g046900	SCA2_2__c76820f1p01331	AT5G59780	4	411	89.4	MYB	11	5067	SCA2_2__c76820f1p01331	192	66.983924720643	36.720555	0.313754363001745	FALSE	MYB;MYB-related	Module_016	TRUE	TRUE	sugarcane
Soffic.03F0031590-3F	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	588	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	36647	95.4354126617402	18758.848479	0.729558261134842	TRUE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.03G0029470-3G	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	589	100	MYB_related	8	4492	SCA3__SP803280_c111248_g1	5862	68.6819162507422	560.874882	0.920538593648338	FALSE	not_a_TF	Module_020	TRUE	FALSE	purple
Soffic.03G0029950-3C	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	585	99.3	MYB_related	8	4492	SCA3__SP803280_c111248_g1	3	1.96851319494659	0.394007	1	FALSE	not_a_TF	Module_1367	TRUE	FALSE	purple
Soffic.03G0030830-3A	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	589	100	MYB_related	8	4492	SCA3__SP803280_c111248_g1	33363	91.0765830114695	14818.846943	0.780983191250777	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.03G0030930-3H	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	585	99	MYB_related	8	4492	SCA3__SP803280_c111248_g1	36433	95.1041427840779	18544.233877	0.73593940211221	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.03G0031200-3D	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	588	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	27	12.8004797093526	3.986833	0.316239316239316	FALSE	not_a_TF	Module_3399	TRUE	FALSE	purple
Soffic.03G0031630-3F	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	589	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	5	3.63897168186334	0.645783	0.2	FALSE	not_a_TF	Module_3547	TRUE	FALSE	purple
Soffic.03G0031750-3E	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	586	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	38662	98.8739175675914	21185.196203	0.702410354374306	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.05G0021340-5A	SCA2_2__c76820f1p01331	AT5G59780	4	148	70.1	MYB	11	5067	SCA2_2__c76820f1p01331	142	28.8613369546686	40.2905	0.27459794226351	FALSE	MYB	Module_013	TRUE	TRUE	purple
Soffic.05G0022030-5F	SCA2_2__c76820f1p01331	AT5G59780	4	143	69.1	MYB	11	5067	SCA2_2__c76820f1p01331						not_a_TF		FALSE	FALSE	purple
Soffic.09C0016350-9C	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	426	71.5	MYB_related	8	4492	SCA3__SP803280_c111248_g1	375	42.0589290018401	45.022451	0.527486631016043	FALSE	not_a_TF	Module_1946	TRUE	FALSE	purple
Soffic.09G0001580-9H	SCA2_2__c76820f1p01331	AT5G59780	4	230	62.3	MYB	11	5067	SCA2_2__c76820f1p01331	611	47.8859867256897	93.156703	0.363811005875882	TRUE	MYB	Module_192	TRUE	TRUE	purple
Soffic.09G0014920-9G	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	436	74.6	MYB_related	8	4492	SCA3__SP803280_c111248_g1	2249	60.8296149979718	365.272176	0.554806090172145	TRUE	not_a_TF	Module_010	TRUE	FALSE	purple
Soffic.09G0014970-9E	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	272	72.1	MYB_related	8	4492	SCA3__SP803280_c111248_g1	227	36.5334532606715	31.741196	0.406728782503606	FALSE	not_a_TF	Module_2026	TRUE	FALSE	purple
Soffic.09G0016060-9B	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	426	71.5	MYB_related	8	4492	SCA3__SP803280_c111248_g1	4143	65.9562147639959	671.776718	0.61832265695029	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.10E0001590-10E	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	387	82.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	32112	89.6930095295204	11838.77059	0.747433531470472	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.10F0000950-10F	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	387	82.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	162	31.5993839026943	30.705893	0.360171765968867	FALSE	not_a_TF	Module_2065	TRUE	FALSE	purple
Soffic.10G0001570-10E	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	387	82.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3						not_a_TF		FALSE	FALSE	purple
Soffic.10G0001580-10B	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1226	83.9	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	1	0.352727465124072	0.04021		FALSE	not_a_TF	Module_3405	TRUE	FALSE	purple
Soffic.10G0001590-10A	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1500	96.5	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	6	4.41555998424484	0.924702	0.333333333333333	FALSE	not_a_TF	Module_2354	TRUE	FALSE	purple
Soffic.10G0001790-10A	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	696	81.2	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	457	44.0518391797911	62.284177	0.474173672693769	FALSE	not_a_TF	Module_703	TRUE	FALSE	purple
Soffic.10G0001830-10B	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1036	76.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	141	28.5982610535969	16.57052	0.412765957446809	FALSE	not_a_TF	Module_2536	TRUE	FALSE	purple
Soffic.10G0001910-10D	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	770	56.9	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	23	11.7664003574305	2.761706	0.33201581027668	FALSE	not_a_TF	Module_6180	TRUE	FALSE	purple
Soffic.10G0002440-10H	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1514	99.9	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	2371	61.3052091967808	384.968379	0.594168637563242	TRUE	not_a_TF	Module_002	TRUE	FALSE	purple
Soffic.10G0002510-10C	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	271	65	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	31635	89.1944880454783	13574.253692	0.781785535664607	TRUE	not_a_TF	Module_001	TRUE	FALSE	purple
Soffic.10G0002520-10C	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	339	39.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	63	19.4564469762438	31.117939	0.574500768049155	FALSE	not_a_TF	Module_188	TRUE	FALSE	purple
Soffic.10G0002620-10H	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1216	77.4	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	31537	89.0951364761351	11142.116478	0.7242304272689	FALSE	not_a_TF	Module_001	TRUE	FALSE	purple
