transcript	gene	protein	orf	pident	evalue	bitscore	qcov	scov	at_anchor	at_best_hit	verdict
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Dg022200	SoffiXsponR570.04Dg022200.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	77.0	0.0	1152	90.6	92.1	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Gg017300	SoffiXsponR570.04Gg017300.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	100	0.0	1103	67.0	100	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Gg018900	SoffiXsponR570.04Gg018900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	80.9	0.0	1047	77.1	91.4	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.07Ag183500	SoffiXsponR570.07Ag183500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.7_10Ag299700	SoffiXsponR570.7_10Ag299700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Bg219800	SoffiXsponR570.03Bg219800.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.9	0.0	902	91.3	92.5	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.07Bg195200	SoffiXsponR570.07Bg195200.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.3	0.0	902	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.07Cg193600	SoffiXsponR570.07Cg193600.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.4	0.0	902	90.1	94.2	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Dg251600	SoffiXsponR570.03Dg251600.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	900	91.3	96.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg270600	SoffiXsponR570.03Eg270600.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.7	0.0	900	91.3	92.5	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg295800	SoffiXsponR570.03Cg295800.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.4	0.0	897	91.3	96.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg295700	SoffiXsponR570.03Cg295700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.2	0.0	895	91.3	92.5	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Gg130300	SoffiXsponR570.03Gg130300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.0	0.0	892	91.3	96.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Gg130200	SoffiXsponR570.03Gg130200.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.2	8.87e-319	891	91.4	96.7	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227500	SoffiXsponR570.03Ag227500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.4	8.88e-319	890	91.4	96.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Bg219900	SoffiXsponR570.03Bg219900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.4	8.87e-319	890	91.4	96.7	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg295600	SoffiXsponR570.03Cg295600.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.2	4.44e-318	889	91.4	96.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Bg220000	SoffiXsponR570.03Bg220000.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.5	4.23e-317	887	91.4	96.2	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg270400	SoffiXsponR570.03Eg270400.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.5	4.23e-317	887	91.4	96.2	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Dg251700	SoffiXsponR570.03Dg251700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.4	2.43e-316	885	91.4	96.2	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227700	SoffiXsponR570.03Ag227700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.4	5.86e-316	884	91.3	96.9	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.08Cg202800	SoffiXsponR570.08Cg202800.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.0	3.93e-307	862	92.0	95.4	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.08Eg147100	SoffiXsponR570.08Eg147100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.9	2.77e-307	862	90.4	93.7	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.7_10Ag299700	SoffiXsponR570.7_10Ag299700.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.5	3.86e-308	862	90.1	96.5	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.8_10Ag339500	SoffiXsponR570.8_10Ag339500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.0	7.89e-307	861	92.0	95.4	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.08Ag215100	SoffiXsponR570.08Ag215100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.8	1.12e-306	860	90.4	93.7	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.08Dg169000	SoffiXsponR570.08Dg169000.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.0	1.12e-306	860	92.0	95.4	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.1Z005300	SoffiXsponR570.1Z005300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.8	1.12e-306	860	90.4	93.7	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Bg084400	SoffiXsponR570.01Bg084400.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.3	9.02e-300	842	90.2	97.0	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Eg092100	SoffiXsponR570.01Eg092100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.3	2.02e-299	841	90.2	96.6	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Eg092100	SoffiXsponR570.01Eg092100.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.3	2.02e-299	841	90.2	96.6	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Ag091100	SoffiXsponR570.01Ag091100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.2	8.39e-299	839	90.2	97.8	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Ag091100	SoffiXsponR570.01Ag091100.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.2	8.39e-299	839	90.2	97.8	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.01Ag091100	SoffiXsponR570.01Ag091100.3.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.2	8.39e-299	839	90.2	97.8	AT4G10770	AT4G16370	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.07Dg145000	SoffiXsponR570.07Dg145000.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	55.6	8.19e-295	828	90.1	96.4	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag347300	SoffiXsponR570.03Ag347300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.3	2.42e-291	821	90.2	96.7	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Dg353000	SoffiXsponR570.03Dg353000.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.3	4.35e-291	820	90.2	98.0	AT4G10770	AT4G26590	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Gg154400	SoffiXsponR570.03Gg154400.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.4	2.68e-291	820	90.2	97.4	AT4G10770	AT4G26590	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg303900	SoffiXsponR570.03Eg303900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.1	9.10e-291	819	90.2	96.8	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg332300	SoffiXsponR570.03Cg332300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.3	6.19e-290	817	90.2	97.4	AT4G10770	AT4G26590	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227900	SoffiXsponR570.03Ag227900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	53.8	9.58e-274	775	91.3	96.7	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Bg314500	SoffiXsponR570.03Bg314500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	52.2	6.69e-273	772	86.6	99.6	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.07Eg143900	SoffiXsponR570.07Eg143900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.8	2.57e-268	755	73.0	99.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227700	SoffiXsponR570.03Ag227700.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.8	3.64e-254	719	71.4	99.8	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag347300	SoffiXsponR570.03Ag347300.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	51.4	1.73e-213	615	69.2	99.5	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg303900	SoffiXsponR570.03Eg303900.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	51.4	1.62e-213	615	69.2	99.6	AT4G10770	AT5G55930	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227700	SoffiXsponR570.03Ag227700.3.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.8	1.25e-208	600	60.3	99.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg270500	SoffiXsponR570.03Eg270500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	43.4	1.17e-207	600	91.4	95.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227800	SoffiXsponR570.03Ag227800.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.8	1.52e-201	582	60.3	99.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227800	SoffiXsponR570.03Ag227800.3.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.8	1.52e-201	582	60.3	99.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227400	SoffiXsponR570.03Ag227400.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.8	2.00e-188	546	55.4	100	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Gg130100	SoffiXsponR570.03Gg130100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.7	4.26e-177	516	51.6	99.3	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg295500	SoffiXsponR570.03Cg295500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	56.9	3.84e-173	508	51.3	91.4	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Eg270500	SoffiXsponR570.03Eg270500.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.1	1.22e-154	457	45.9	96.2	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Cg295600	SoffiXsponR570.03Cg295600.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	59.2	1.71e-147	441	46.9	90.7	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.03Ag227800	SoffiXsponR570.03Ag227800.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.2	9.01e-115	351	33.7	95.3	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.02Fg192300	SoffiXsponR570.02Fg192300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	57.4	8.77e-83	272	26.5	53.0	AT4G10770	AT5G64410	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.2.p	SCA2_2__c55824f2p11649.p1	97.6	2.30e-122	350	99.6	99.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.2.p	SCA2_2__c55824f2p11649.p1	96.4	6.25e-116	334	99.6	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.1.p	SCA2_2__c55824f2p11649.p1	97.1	2.59e-114	333	96.4	75.0	AT5G59780	AT3G46130	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.2.p	SCA2_2__c55824f2p11649.p1	94.5	1.64e-113	328	99.6	99.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.3.p	SCA2_2__c55824f2p11649.p1	94.4	3.57e-112	325	98.8	99.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.1.p	SCA2_2__c55824f2p11649.p1	95.9	6.79e-108	317	96.4	75.5	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.1.p	SCA2_2__c55824f2p11649.p1	93.9	1.76e-105	310	96.4	75.2	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.6us88g046900	SoffiXsponR570.6us88g046900.2.p	SCA2_2__c55824f2p11649.p1	89.1	2.63e-95	282	99.6	99.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.6us88g046900	SoffiXsponR570.6us88g046900.1.p	SCA2_2__c55824f2p11649.p1	88.4	2.51e-87	264	96.4	75.0	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.3.p	SCA2_2__c55824f2p11649.p2	100	4.55e-78	227	99.1	100	AT5G59780	AT3G46130	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.06Eg019900	SoffiXsponR570.06Eg019900.1.p	SCA2_2__c55824f2p11649.p1	54.8	6.03e-61	196	96.4	78.3	AT5G59780	AT3G46130	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.1.p	SCA2_2__c55824f2p11649.p1	92.6	1.70e-60	195	73.8	60.3	AT5G59780	none	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.06Fg016500	SoffiXsponR570.06Fg016500.1.p	SCA2_2__c55824f2p11649.p1	57.3	6.80e-60	193	96.4	78.3	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Fg016500	SoffiXsponR570.06Fg016500.2.p	SCA2_2__c55824f2p11649.p1	57.5	1.72e-60	193	96.0	97.0	AT5G59780	AT3G46130	rejected
SCA2_2__c55824f2p11649	SoffiXsponR570.6_9Ag108900	SoffiXsponR570.6_9Ag108900.1.p	SCA2_2__c55824f2p11649.p1	57.4	1.11e-58	190	96.4	78.4	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.6us88g046700	SoffiXsponR570.6us88g046700.1.p	SCA2_2__c55824f2p11649.p1	61.8	1.87e-57	187	96.4	78.5	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Ag012300	SoffiXsponR570.06Ag012300.1.p	SCA2_2__c55824f2p11649.p1	58.9	2.68e-50	169	96.4	78.3	AT5G59780	AT5G59780	reciprocal
SCA2_2__c55824f2p11649	SoffiXsponR570.06Ag012300	SoffiXsponR570.06Ag012300.2.p	SCA2_2__c55824f2p11649.p1	59.2	7.45e-51	168	96.0	97.0	AT5G59780	AT3G46130	rejected
SCA2_2__c65732f1p01355	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.2.p	SCA2_2__c65732f1p01355.p1	59.3	1.05e-39	140	25.2	77.3	AT5G59780	AT5G59780	reciprocal
SCA2_2__c65732f1p01355	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.3.p	SCA2_2__c65732f1p01355.p1	65.4	3.38e-22	92.4	22.3	72.9	AT5G59780	AT3G46130	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.2.p	SCA2_2__c76396f1p01512.p1	94.6	6.00e-120	345	99.6	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.2.p	SCA2_2__c76396f1p01512.p1	96.1	1.14e-113	329	99.2	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.1.p	SCA2_2__c76396f1p01512.p1	94.0	6.67e-112	327	96.5	75.3	AT5G59780	AT3G46130	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.2.p	SCA2_2__c76396f1p01512.p1	91.6	4.25e-111	322	99.6	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.3.p	SCA2_2__c76396f1p01512.p1	91.5	9.26e-110	319	98.8	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.1.p	SCA2_2__c76396f1p01512.p1	95.6	1.23e-105	311	96.2	75.5	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.1.p	SCA2_2__c76396f1p01512.p1	90.9	4.49e-103	305	96.5	75.5	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.6us88g046900	SoffiXsponR570.6us88g046900.2.p	SCA2_2__c76396f1p01512.p1	86.3	4.10e-94	279	99.6	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.6us88g046900	SoffiXsponR570.6us88g046900.1.p	SCA2_2__c76396f1p01512.p1	85.5	3.86e-86	261	96.5	75.3	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.3.p	SCA2_2__c76396f1p01512.p2	86.0	1.27e-65	198	64.5	100	AT5G59780	AT3G46130	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.06Eg019900	SoffiXsponR570.06Eg019900.1.p	SCA2_2__c76396f1p01512.p1	53.5	3.56e-59	192	96.5	78.6	AT5G59780	AT3G46130	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.1.p	SCA2_2__c76396f1p01512.p1	88.8	3.98e-58	189	74.6	60.6	AT5G59780	none	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.06Fg016500	SoffiXsponR570.06Fg016500.1.p	SCA2_2__c76396f1p01512.p1	55.9	4.00e-58	189	96.5	78.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Fg016500	SoffiXsponR570.06Fg016500.2.p	SCA2_2__c76396f1p01512.p1	56.1	1.03e-58	189	96.2	97.5	AT5G59780	AT3G46130	rejected
SCA2_2__c76396f1p01512	SoffiXsponR570.6_9Ag108900	SoffiXsponR570.6_9Ag108900.1.p	SCA2_2__c76396f1p01512.p1	56.1	6.53e-57	186	96.5	78.7	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.6us88g046700	SoffiXsponR570.6us88g046700.1.p	SCA2_2__c76396f1p01512.p1	60.8	5.49e-56	184	96.5	78.9	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Ag012300	SoffiXsponR570.06Ag012300.1.p	SCA2_2__c76396f1p01512.p1	57.5	2.73e-49	166	96.5	78.6	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76396f1p01512	SoffiXsponR570.06Ag012300	SoffiXsponR570.06Ag012300.2.p	SCA2_2__c76396f1p01512.p1	57.7	7.68e-50	166	96.2	97.5	AT5G59780	AT3G46130	rejected
SCA2_2__c76820f1p01331	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.1.p	SCA2_2__c76820f1p01331.p1	96.3	3.00e-172	483	99.7	99.7	AT5G59780	AT3G46130	rejected
SCA2_2__c76820f1p01331	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.1.p	SCA2_2__c76820f1p01331.p1	97.8	7.83e-171	479	99.7	100	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.1.p	SCA2_2__c76820f1p01331.p1	94.2	1.77e-162	458	99.7	99.7	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.6us88g046900	SoffiXsponR570.6us88g046900.1.p	SCA2_2__c76820f1p01331.p1	89.4	4.15e-144	411	99.7	99.7	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.06Fg016300	SoffiXsponR570.06Fg016300.2.p	SCA2_2__c76820f1p01331.p1	96.3	1.39e-113	331	75.3	96.4	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.6_9Ag108700	SoffiXsponR570.6_9Ag108700.2.p	SCA2_2__c76820f1p01331.p1	96.7	4.78e-110	322	75.3	96.8	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.2.p	SCA2_2__c76820f1p01331.p1	93.1	9.44e-105	309	75.3	96.4	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.06Eg019700	SoffiXsponR570.06Eg019700.3.p	SCA2_2__c76820f1p01331.p1	93.1	8.81e-105	309	75.3	97.2	AT5G59780	AT5G59780	reciprocal
SCA2_2__c76820f1p01331	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.1.p	SCA2_2__c76820f1p01331.p1	75.1	1.42e-97	293	99.7	99.7	AT5G59780	none	rejected
