gene	Family	Type
SoffiXsponR570.01Ag381900	OFP	TFF
SoffiXsponR570.01Ag383000	WRKY	TFF
SoffiXsponR570.01Ag386300	MYB-related	TFF
SoffiXsponR570.01Ag387600	NAC	TFF
SoffiXsponR570.01Ag387800	NAC	TFF
SoffiXsponR570.01Ag388900	MYB-related	TFF
SoffiXsponR570.01Ag389500	EIL	TFF
SoffiXsponR570.01Ag393600	bZIP	TFF
SoffiXsponR570.01Ag397700	PAS	TFF
SoffiXsponR570.01Ag399600	bZIP	TFF
SoffiXsponR570.01Ag401300	PHD	OTR
SoffiXsponR570.01Ag403200	C3H	TFF
SoffiXsponR570.01Ag408200	MYB	TFF
SoffiXsponR570.01Ag414400	Pseudo_ARR-B	OTR
SoffiXsponR570.01Ag422400	SART-1	OTR
SoffiXsponR570.01Ag423600	GRAS	TFF
SoffiXsponR570.01Ag425000	Sigma70-like	TFF
SoffiXsponR570.01Ag427400	LIM	TFF
SoffiXsponR570.01Ag428300	LIM	TFF
SoffiXsponR570.01Ag431100	GRAS	TFF
SoffiXsponR570.01Ag436200	FAR1	TFF
SoffiXsponR570.01Ag436700	Top	TFF
SoffiXsponR570.01Ag438400	CCAAT	TFF
SoffiXsponR570.01Ag445900	C2H2	TFF
SoffiXsponR570.01Ag450000	bHLH	TFF
SoffiXsponR570.01Ag451400	AP2-EREBP	TFF
SoffiXsponR570.01Ag454000	ARR-B	TFF
SoffiXsponR570.01Ag454000	MYB-related	TFF
SoffiXsponR570.01Ag455600	NAC	TFF
SoffiXsponR570.01Ag458800	C2C2-YABBY	TFF
SoffiXsponR570.01Ag461700	ABI3VP1	TFF
SoffiXsponR570.01Ag471300	C2H2	TFF
SoffiXsponR570.01Ag474200	GNAT	OTR
SoffiXsponR570.01Ag475100	GRAS	TFF
SoffiXsponR570.01Ag476400	AP2-EREBP	TFF
SoffiXsponR570.01Ag477200	TIG	TFF
SoffiXsponR570.01Ag478600	bHLH	TFF
SoffiXsponR570.01Ag482000	ABI3VP1	TFF
SoffiXsponR570.01Ag484700	Tify	TFF
SoffiXsponR570.01Ag484800	Tify	TFF
SoffiXsponR570.01Ag487200	GNAT	OTR
SoffiXsponR570.01Ag487700	AP2-EREBP	TFF
SoffiXsponR570.01Ag488800	CCAAT	TFF
SoffiXsponR570.01Ag491200	bHLH	TFF
SoffiXsponR570.01Ag492600	C2C2-Dof	TFF
SoffiXsponR570.01Ag496800	HB	TFF
SoffiXsponR570.01Ag498900	HSF	TFF
SoffiXsponR570.01Ag505200	Jumonji	OTR
SoffiXsponR570.01Ag505900	AP2-EREBP	TFF
SoffiXsponR570.01Ag509800	C2C2-GATA	TFF
SoffiXsponR570.01Ag518500	MYB-related	TFF
SoffiXsponR570.01Ag525200	MYB-related	TFF
SoffiXsponR570.01Ag528300	bZIP	TFF
SoffiXsponR570.01Ag529400	OFP	TFF
SoffiXsponR570.01Ag531400	HB	TFF
SoffiXsponR570.01Ag531800	HB	TFF
SoffiXsponR570.01Ag532700	MADS	TFF
SoffiXsponR570.01Ag533500	bHLH	TFF
SoffiXsponR570.01Ag534200	ABI3VP1	TFF
SoffiXsponR570.01Ag535500	NAC	TFF
SoffiXsponR570.01Ag542800	Trihelix	TFF
SoffiXsponR570.01Ag543300	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Ag546200	MYB-related	TFF
SoffiXsponR570.01Ag551200	Not1	TFF
SoffiXsponR570.01Bg002600	Sigma70-like	TFF
SoffiXsponR570.01Bg006300	WRKY	TFF
SoffiXsponR570.01Bg007000	HSF	TFF
SoffiXsponR570.01Bg019900	mTERF	OTR
SoffiXsponR570.01Bg020200	mTERF	OTR
SoffiXsponR570.01Bg027100	SBP	TFF
SoffiXsponR570.01Bg028200	GRAS	TFF
SoffiXsponR570.01Bg029700	C3H	TFF
SoffiXsponR570.01Bg034000	mTERF	OTR
SoffiXsponR570.01Bg034100	mTERF	OTR
SoffiXsponR570.01Bg034200	mTERF	OTR
SoffiXsponR570.01Bg035000	C2H2	TFF
SoffiXsponR570.01Bg035300	C2H2	TFF
SoffiXsponR570.01Bg036600	AP2-EREBP	TFF
SoffiXsponR570.01Bg039100	AP2-EREBP	TFF
SoffiXsponR570.01Bg039500	NAC	TFF
SoffiXsponR570.01Bg042700	mTERF	OTR
SoffiXsponR570.01Bg043000	bZIP	TFF
SoffiXsponR570.01Bg048200	DDT	OTR
SoffiXsponR570.01Bg049600	bHLH	TFF
SoffiXsponR570.01Bg051000	FHA	TFF
SoffiXsponR570.01Bg053100	AUX/IAA	OTR
SoffiXsponR570.01Bg053400	bHLH	TFF
SoffiXsponR570.01Bg053800	bZIP	TFF
SoffiXsponR570.01Bg054800	HSF	TFF
SoffiXsponR570.01Bg056900	GNAT	OTR
SoffiXsponR570.01Bg058300	TRAF	OTR
SoffiXsponR570.01Bg059000	FAR1	TFF
SoffiXsponR570.01Bg059300	C2C2-GATA	TFF
SoffiXsponR570.01Bg063600	mTERF	OTR
SoffiXsponR570.01Bg065400	bHLH	TFF
SoffiXsponR570.01Bg067400	FAR1	TFF
SoffiXsponR570.01Bg071500	HB	TFF
SoffiXsponR570.01Bg071700	MYB	TFF
SoffiXsponR570.01Bg072700	TRAF	OTR
SoffiXsponR570.01Bg075100	C2C2-Dof	TFF
SoffiXsponR570.01Bg075400	MYB-related	TFF
SoffiXsponR570.01Bg075800	C2H2	TFF
SoffiXsponR570.01Bg077700	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Bg079100	WRKY	TFF
SoffiXsponR570.01Bg080100	WRKY	TFF
SoffiXsponR570.01Bg083200	MADS	TFF
SoffiXsponR570.01Bg084000	PAS	TFF
SoffiXsponR570.01Bg084800	MYB-related	TFF
SoffiXsponR570.01Bg087500	PHD	OTR
SoffiXsponR570.01Bg091000	AUX/IAA	OTR
SoffiXsponR570.01Bg091900	WRKY	TFF
SoffiXsponR570.01Bg092000	bHLH	TFF
SoffiXsponR570.01Bg097800	HB	TFF
SoffiXsponR570.01Bg098800	FHA	TFF
SoffiXsponR570.01Bg099500	BSD	TFF
SoffiXsponR570.01Bg099800	GRF	TFF
SoffiXsponR570.01Bg100300	bHLH	TFF
SoffiXsponR570.01Bg101500	HB	TFF
SoffiXsponR570.01Bg102700	Top	TFF
SoffiXsponR570.01Bg102800	bHLH	TFF
SoffiXsponR570.01Bg104900	MYB-related	TFF
SoffiXsponR570.01Bg105100	CCAAT	TFF
SoffiXsponR570.01Bg106200	PAS	TFF
SoffiXsponR570.01Bg107500	zf-HD	TFF
SoffiXsponR570.01Bg112700	C2C2-CO-like	TFF
SoffiXsponR570.01Bg115300	GRAS	TFF
SoffiXsponR570.01Bg115700	TCP	TFF
SoffiXsponR570.01Bg121000	C3H	TFF
SoffiXsponR570.01Bg121600	CCAAT	TFF
SoffiXsponR570.01Bg128100	C2C2-GATA	TFF
SoffiXsponR570.01Bg129900	HB	TFF
SoffiXsponR570.01Bg132700	HB	TFF
SoffiXsponR570.01Bg133200	bHLH	TFF
SoffiXsponR570.01Bg133400	bHLH	TFF
SoffiXsponR570.01Bg136000	MYB-related	TFF
SoffiXsponR570.01Bg137600	GNAT	OTR
SoffiXsponR570.01Bg142700	NOT2_3_5	OTR
SoffiXsponR570.01Bg144200	C2C2-YABBY	TFF
SoffiXsponR570.01Bg145700	CCAAT	TFF
SoffiXsponR570.01Bg148200	MYB-related	TFF
SoffiXsponR570.01Bg150100	zf-LSD1	TFF
SoffiXsponR570.01Bg150700	bHLH	TFF
SoffiXsponR570.01Bg151500	CPP	TFF
SoffiXsponR570.01Bg153400	AUX/IAA	OTR
SoffiXsponR570.01Bg153500	AUX/IAA	OTR
SoffiXsponR570.01Bg154100	WRKY	TFF
SoffiXsponR570.01Bg155900	NAC	TFF
SoffiXsponR570.01Bg156100	MYB-related	TFF
SoffiXsponR570.01Bg156300	ABI3VP1	TFF
SoffiXsponR570.01Bg157100	ABI3VP1	TFF
SoffiXsponR570.01Bg157500	ABI3VP1	TFF
SoffiXsponR570.01Bg157800	ABI3VP1	TFF
SoffiXsponR570.01Bg159000	ABI3VP1	TFF
SoffiXsponR570.01Bg161200	AP2-EREBP	TFF
SoffiXsponR570.01Bg166300	FHA	TFF
SoffiXsponR570.01Bg169900	MADS	TFF
SoffiXsponR570.01Bg181700	Trihelix	TFF
SoffiXsponR570.01Bg183600	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Bg193900	Top	TFF
SoffiXsponR570.01Bg199600	FHA	TFF
SoffiXsponR570.01Bg212000	Top	TFF
SoffiXsponR570.01Bg222500	E2F-DP	TFF
SoffiXsponR570.01Bg226800	TRAF	OTR
SoffiXsponR570.01Bg228000	HSF	TFF
SoffiXsponR570.01Bg231900	TRAF	OTR
SoffiXsponR570.01Bg232100	TRAF	OTR
SoffiXsponR570.01Bg232300	TRAF	OTR
SoffiXsponR570.01Bg238200	C2C2-Dof	TFF
SoffiXsponR570.01Bg242400	Tify	TFF
SoffiXsponR570.01Bg242500	Tify	TFF
SoffiXsponR570.01Bg242800	Tify	TFF
SoffiXsponR570.01Bg243000	Tify	TFF
SoffiXsponR570.01Bg246400	bHLH	TFF
SoffiXsponR570.01Bg247000	TIG	TFF
SoffiXsponR570.01Bg247400	AP2-EREBP	TFF
SoffiXsponR570.01Bg248100	GRAS	TFF
SoffiXsponR570.01Bg266000	zf-BED	TFF
SoffiXsponR570.01Bg270800	zf-C5HC2	TFF
SoffiXsponR570.01Bg273700	bHLH	TFF
SoffiXsponR570.01Bg274100	PLATZ	TFF
SoffiXsponR570.01Bg275400	MED26	OTR
SoffiXsponR570.01Bg275700	MED26	OTR
SoffiXsponR570.01Bg276500	NAC	TFF
SoffiXsponR570.01Bg276900	MYB-related	TFF
SoffiXsponR570.01Bg277500	AP2-EREBP	TFF
SoffiXsponR570.01Bg278500	MYB-related	TFF
SoffiXsponR570.01Bg279000	AP2-EREBP	TFF
SoffiXsponR570.01Bg280400	C2C2-GATA	TFF
SoffiXsponR570.01Bg280500	Not1	TFF
SoffiXsponR570.01Bg280900	bHLH	TFF
SoffiXsponR570.01Bg295500	ABI3VP1	TFF
SoffiXsponR570.01Bg296700	HB	TFF
SoffiXsponR570.01Bg298000	SWI/SNF-SWI3	OTR
SoffiXsponR570.01Bg298100	NAC	TFF
SoffiXsponR570.01Bg298200	bZIP	TFF
SoffiXsponR570.01Bg302900	C2H2	TFF
SoffiXsponR570.01Bg303000	C2H2	TFF
SoffiXsponR570.01Bg305600	WRKY	TFF
SoffiXsponR570.01Bg307100	MYB-related	TFF
SoffiXsponR570.01Bg310800	CCAAT	TFF
SoffiXsponR570.01Bg316000	bHLH	TFF
SoffiXsponR570.01Bg316600	Jumonji	OTR
SoffiXsponR570.01Bg316900	zf-LSD1	TFF
SoffiXsponR570.01Bg317600	TIG	TFF
SoffiXsponR570.01Bg320200	CCAAT	TFF
SoffiXsponR570.01Bg323900	Tify	TFF
SoffiXsponR570.01Bg329300	Top	TFF
SoffiXsponR570.01Bg333200	Jumonji	OTR
SoffiXsponR570.01Bg339700	WRKY	TFF
SoffiXsponR570.01Bg343300	MYB-related	TFF
SoffiXsponR570.01Bg344000	FAR1	TFF
SoffiXsponR570.01Bg345100	NAC	TFF
SoffiXsponR570.01Bg345400	NAC	TFF
SoffiXsponR570.01Bg346400	MYB-related	TFF
SoffiXsponR570.01Bg347100	EIL	TFF
SoffiXsponR570.01Bg350800	bZIP	TFF
SoffiXsponR570.01Bg358800	PHD	OTR
SoffiXsponR570.01Bg360200	PHD	OTR
SoffiXsponR570.01Bg371400	Pseudo_ARR-B	OTR
SoffiXsponR570.01Bg378900	SART-1	OTR
SoffiXsponR570.01Bg381400	Sigma70-like	TFF
SoffiXsponR570.01Bg383200	LIM	TFF
SoffiXsponR570.01Bg384300	LIM	TFF
SoffiXsponR570.01Bg386800	AP2-EREBP	TFF
SoffiXsponR570.01Bg391600	FAR1	TFF
SoffiXsponR570.01Bg392200	Top	TFF
SoffiXsponR570.01Bg393800	CCAAT	TFF
SoffiXsponR570.01Bg399900	MYB-related	TFF
SoffiXsponR570.01Bg400400	bZIP	TFF
SoffiXsponR570.01Bg401800	C2H2	TFF
SoffiXsponR570.01Bg406500	bHLH	TFF
SoffiXsponR570.01Bg410200	HSF	TFF
SoffiXsponR570.01Bg410500	ARR-B	TFF
SoffiXsponR570.01Bg410500	MYB-related	TFF
SoffiXsponR570.01Bg415300	C2C2-YABBY	TFF
SoffiXsponR570.01Bg418200	MYB-related	TFF
SoffiXsponR570.01Bg418300	ABI3VP1	TFF
SoffiXsponR570.01Bg428600	OFP	TFF
SoffiXsponR570.01Bg428800	C2H2	TFF
SoffiXsponR570.01Bg431700	GNAT	OTR
SoffiXsponR570.01Bg432800	GRAS	TFF
SoffiXsponR570.01Bg434500	AP2-EREBP	TFF
SoffiXsponR570.01Bg439200	Tify	TFF
SoffiXsponR570.01Bg439300	Tify	TFF
SoffiXsponR570.01Bg441600	GNAT	OTR
SoffiXsponR570.01Bg442700	CCAAT	TFF
SoffiXsponR570.01Bg444700	bHLH	TFF
SoffiXsponR570.01Bg446000	C2C2-Dof	TFF
SoffiXsponR570.01Bg447100	SET	OTR
SoffiXsponR570.01Bg449800	HB	TFF
SoffiXsponR570.01Bg452000	HSF	TFF
SoffiXsponR570.01Bg457200	E2F-DP	TFF
SoffiXsponR570.01Bg457800	Top	TFF
SoffiXsponR570.01Bg458700	AP2-EREBP	TFF
SoffiXsponR570.01Bg464800	MYB	TFF
SoffiXsponR570.01Bg468700	MYB-related	TFF
SoffiXsponR570.01Bg471600	NAC	TFF
SoffiXsponR570.01Bg478100	FHA	TFF
SoffiXsponR570.01Bg478200	bZIP	TFF
SoffiXsponR570.01Bg478400	NAC	TFF
SoffiXsponR570.01Bg481200	HB	TFF
SoffiXsponR570.01Bg481500	HB	TFF
SoffiXsponR570.01Bg482700	bHLH	TFF
SoffiXsponR570.01Bg492500	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Bg500300	Not1	TFF
SoffiXsponR570.01Cg003100	Sigma70-like	TFF
SoffiXsponR570.01Cg006600	WRKY	TFF
SoffiXsponR570.01Cg007400	HSF	TFF
SoffiXsponR570.01Cg012600	C2C2-GATA	TFF
SoffiXsponR570.01Cg016700	GRAS	TFF
SoffiXsponR570.01Cg020000	TFIIS	TFF
SoffiXsponR570.01Cg025100	bZIP	TFF
SoffiXsponR570.01Cg027900	AUX/IAA	OTR
SoffiXsponR570.01Cg028900	bZIP	TFF
SoffiXsponR570.01Cg029700	HSF	TFF
SoffiXsponR570.01Cg032000	GNAT	OTR
SoffiXsponR570.01Cg032100	GNAT	OTR
SoffiXsponR570.01Cg034100	TRAF	OTR
SoffiXsponR570.01Cg034700	zf-A20	TFF
SoffiXsponR570.01Cg035100	C2C2-GATA	TFF
SoffiXsponR570.01Cg036500	mTERF	OTR
SoffiXsponR570.01Cg038200	bHLH	TFF
SoffiXsponR570.01Cg039000	GeBP	TFF
SoffiXsponR570.01Cg040300	FAR1	TFF
SoffiXsponR570.01Cg040800	NAC	TFF
SoffiXsponR570.01Cg045000	HB	TFF
SoffiXsponR570.01Cg045100	MYB	TFF
SoffiXsponR570.01Cg045800	TRAF	OTR
SoffiXsponR570.01Cg046400	bHLH	TFF
SoffiXsponR570.01Cg050300	C2C2-GATA	TFF
SoffiXsponR570.01Cg052300	HB	TFF
SoffiXsponR570.01Cg053200	FHA	TFF
SoffiXsponR570.01Cg053800	BSD	TFF
SoffiXsponR570.01Cg054300	GRF	TFF
SoffiXsponR570.01Cg055000	bHLH	TFF
SoffiXsponR570.01Cg056200	HB	TFF
SoffiXsponR570.01Cg056400	HB	TFF
SoffiXsponR570.01Cg057800	Top	TFF
SoffiXsponR570.01Cg057900	bHLH	TFF
SoffiXsponR570.01Cg059100	GRAS	TFF
SoffiXsponR570.01Cg059500	MYB-related	TFF
SoffiXsponR570.01Cg061000	PAS	TFF
SoffiXsponR570.01Cg061800	zf-HD	TFF
SoffiXsponR570.01Cg063100	PHD	OTR
SoffiXsponR570.01Cg064000	FAR1	TFF
SoffiXsponR570.01Cg069000	GeBP	TFF
SoffiXsponR570.01Cg070100	GRAS	TFF
SoffiXsponR570.01Cg075800	GNAT	OTR
SoffiXsponR570.01Cg076700	C3H	TFF
SoffiXsponR570.01Cg079100	ARF	TFF
SoffiXsponR570.01Cg089100	MYB-related	TFF
SoffiXsponR570.01Cg089300	MYB-related	TFF
SoffiXsponR570.01Cg090800	E2F-DP	TFF
SoffiXsponR570.01Cg095500	HSF	TFF
SoffiXsponR570.01Cg097500	TRAF	OTR
SoffiXsponR570.01Cg097600	TRAF	OTR
SoffiXsponR570.01Cg098900	zf-BED	TFF
SoffiXsponR570.01Cg099400	GNAT	OTR
SoffiXsponR570.01Cg101500	SET	OTR
SoffiXsponR570.01Cg102500	C2C2-Dof	TFF
SoffiXsponR570.01Cg107300	Tify	TFF
SoffiXsponR570.01Cg107400	Tify	TFF
SoffiXsponR570.01Cg107500	Tify	TFF
SoffiXsponR570.01Cg107600	Tify	TFF
SoffiXsponR570.01Cg112100	AP2-EREBP	TFF
SoffiXsponR570.01Cg113000	GRAS	TFF
SoffiXsponR570.01Cg132000	bHLH	TFF
SoffiXsponR570.01Cg137600	zf-C5HC2	TFF
SoffiXsponR570.01Cg140200	bHLH	TFF
SoffiXsponR570.01Cg140600	PLATZ	TFF
SoffiXsponR570.01Cg141900	MED26	OTR
SoffiXsponR570.01Cg142200	MED26	OTR
SoffiXsponR570.01Cg145300	SOH1	OTR
SoffiXsponR570.01Cg146200	MYB-related	TFF
SoffiXsponR570.01Cg148200	MYB-related	TFF
SoffiXsponR570.01Cg148700	AP2-EREBP	TFF
SoffiXsponR570.01Cg150000	C2C2-GATA	TFF
SoffiXsponR570.01Cg150100	Not1	TFF
SoffiXsponR570.01Cg150300	bHLH	TFF
SoffiXsponR570.01Cg165600	MADS	TFF
SoffiXsponR570.01Cg166000	HB	TFF
SoffiXsponR570.01Cg167400	SWI/SNF-SWI3	OTR
SoffiXsponR570.01Cg167600	bZIP	TFF
SoffiXsponR570.01Cg171500	AP2-EREBP	TFF
SoffiXsponR570.01Cg177000	GNAT	OTR
SoffiXsponR570.01Cg180400	C2H2	TFF
SoffiXsponR570.01Cg184000	C2H2	TFF
SoffiXsponR570.01Cg184100	MYB-related	TFF
SoffiXsponR570.01Cg188900	CCAAT	TFF
SoffiXsponR570.01Cg189900	GRAS	TFF
SoffiXsponR570.01Cg192300	Tify	TFF
SoffiXsponR570.01Cg199000	bHLH	TFF
SoffiXsponR570.01Cg200600	TIG	TFF
SoffiXsponR570.01Cg203700	SAP	TFF
SoffiXsponR570.01Cg204800	bHLH	TFF
SoffiXsponR570.01Cg205100	MYB	TFF
SoffiXsponR570.01Cg208100	MYB	TFF
SoffiXsponR570.01Cg209000	GeBP	TFF
SoffiXsponR570.01Cg210600	HSF	TFF
SoffiXsponR570.01Cg211300	MED26	OTR
SoffiXsponR570.01Cg213600	MYB-related	TFF
SoffiXsponR570.01Cg213900	mTERF	OTR
SoffiXsponR570.01Cg219700	Top	TFF
SoffiXsponR570.01Cg223700	Jumonji	OTR
SoffiXsponR570.01Cg230800	WRKY	TFF
SoffiXsponR570.01Cg234200	MYB-related	TFF
SoffiXsponR570.01Cg235500	NAC	TFF
SoffiXsponR570.01Cg235700	NAC	TFF
SoffiXsponR570.01Cg237000	MYB-related	TFF
SoffiXsponR570.01Cg237700	EIL	TFF
